STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-01,10.29,2034,2014,0.12,1.9,6,,22,12,,60,60,,,21,25.1,1,,,,,,1,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-02,9.4,308,308,0.49,5.6,8,,29,17,,80,90,,,23,28,1,,,1,,1,,1,,,,1,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-03,10.96,1629,1455,0,0.2,10,,26,6,,250,250,,,21,28,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-04,10.51,1033,1021,0,0,8,,29,10,,250,250,,,25.1,33.1,,,,,,,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-05,7.16,2105,2104,0.27,3.3,10,,34,15,,350,350,,,21,28,1,,,1,,,,,,,1,,,1,,,1
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-06,11.86,1106,1105,0,0,10,,32,27,,250,250,,,21,25.1,1,,,,,,,,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-07,5.59,2303,2302,0.14,1.4,9,,36,29,,340,340,,,13,16.1,1,,,,,,,,,1,,1,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-08,15.88,1411,1410,0.04,1.4,9,,29,8,,280,280,,,28,36,1,,,,,,1,1,,1,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-09,16.33,1341,1340,0,0,9,,26,6,,260,250,,,31.1,40.9,,,,,,,,,,,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-10,12.97,1604,1512,0,0.1,8,,16,3,,240,250,,,25.1,31.1,,,,,,,1,,,,,,,1,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-11,5.37,1106,1242,0,0,8,,26,-4,,250,260,,,19.9,23.9,,,,,,,,,,,,,,,,,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",2011-02-12,14.76,1358,1338,0.03,1,8,,32,17,,280,280,,,31.1,40,,1,,,,,1,,,1,,,,1,,,1
