OBJECTID,Section,Section_Num,ShapeSTArea,ShapeSTLength
1,Clinton,7,168639147.371704,100168.415364481
2,Genesee,3,248478637.945435,111195.755116947
4,Lake,1,289635748.553955,147063.242097618
5,Goodman,5,261658241.475952,174836.693670091
6,Central,9,54285233.8103027,38080.1776001549
